"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2024","2,302.01","2,291.51","2,328.27","2,277.60","","0.76%"
"04/01/2024","2,284.57","2,239.59","2,431.53","2,228.54","","2.34%"
"03/01/2024","2,232.38","2,043.44","2,235.90","2,038.55","","9.26%"
"02/01/2024","2,043.24","2,037.59","2,065.42","1,984.30","","0.30%"
"01/01/2024","2,037.19","2,062.90","2,079.02","2,001.91","","-1.23%"
"12/01/2023","2,062.59","2,034.49","2,135.90","1,973.09","","1.32%"
"11/01/2023","2,035.75","1,983.01","2,052.09","1,931.73","","2.66%"
"10/01/2023","1,983.01","1,848.05","2,009.59","1,809.80","","7.27%"
"09/01/2023","1,848.58","1,939.86","1,953.06","1,846.34","","-4.70%"
"08/01/2023","1,939.74","1,965.10","1,966.24","1,884.35","","-1.24%"
"07/01/2023","1,964.19","1,919.40","1,987.59","1,902.68","","2.32%"
"06/01/2023","1,919.57","1,962.80","1,983.52","1,893.01","","-2.18%"
"05/01/2023","1,962.30","1,991.34","2,073.29","1,932.08","","-1.37%"
"04/01/2023","1,989.65","1,970.84","2,048.84","1,949.82","","1.11%"
"03/01/2023","1,967.90","1,827.24","2,010.19","1,809.40","","7.70%"
"02/01/2023","1,827.15","1,927.92","1,959.77","1,804.65","","-5.22%"
"01/01/2023","1,927.88","1,823.85","1,949.27","1,823.85","","5.67%"
"12/01/2022","1,824.40","1,768.54","1,833.39","1,765.32","","3.16%"
"11/01/2022","1,768.45","1,633.40","1,786.68","1,616.18","","8.29%"
"10/01/2022","1,633.12","1,661.30","1,729.73","1,617.21","","-1.60%"
"09/01/2022","1,659.67","1,711.09","1,735.37","1,614.35","","-2.98%"
"08/01/2022","1,710.70","1,765.05","1,807.90","1,709.10","","-3.09%"
"07/01/2022","1,765.22","1,807.31","1,814.36","1,680.78","","-2.31%"
"06/01/2022","1,806.89","1,837.37","1,877.38","1,802.20","","-1.64%"
"05/01/2022","1,837.09","1,896.09","1,910.03","1,786.95","","-3.13%"
"04/01/2022","1,896.40","1,937.51","1,998.60","1,872.19","","-2.11%"
"03/01/2022","1,937.23","1,908.19","2,070.29","1,890.03","","1.54%"
"02/01/2022","1,907.90","1,796.72","1,974.48","1,788.39","","6.20%"
"01/01/2022","1,796.47","1,830.14","1,853.98","1,779.88","","-1.75%"
"12/01/2021","1,828.39","1,774.15","1,830.58","1,753.84","","3.08%"
"11/01/2021","1,773.78","1,783.24","1,877.40","1,758.45","","-0.51%"
"10/01/2021","1,782.81","1,756.91","1,814.22","1,745.45","","1.49%"
"09/01/2021","1,756.66","1,813.57","1,834.55","1,721.07","","-3.13%"
"08/01/2021","1,813.43","1,814.34","1,832.10","1,684.77","","-0.01%"
"07/01/2021","1,813.58","1,770.06","1,833.99","1,765.47","","2.47%"
"06/01/2021","1,769.80","1,907.53","1,916.84","1,750.11","","-7.16%"
"05/01/2021","1,906.36","1,768.49","1,913.15","1,765.91","","7.79%"
"04/01/2021","1,768.59","1,708.09","1,798.29","1,705.42","","3.61%"
"03/01/2021","1,707.01","1,733.40","1,760.02","1,676.70","","-1.53%"
"02/01/2021","1,733.49","1,863.05","1,871.84","1,717.26","","-6.10%"
"01/01/2021","1,846.09","1,897.69","1,959.60","1,810.46","","-2.66%"
"12/01/2020","1,896.49","1,777.40","1,906.93","1,775.52","","6.72%"
"11/01/2020","1,777.02","1,878.59","1,965.92","1,764.69","","-5.37%"
"10/01/2020","1,877.95","1,885.80","1,933.45","1,859.67","","-0.40%"
"09/01/2020","1,885.44","1,967.63","1,992.38","1,848.45","","-4.28%"
"08/01/2020","1,969.75","1,980.98","2,073.41","1,864.30","","-0.25%"
"07/01/2020","1,974.69","1,781.60","1,981.22","1,757.68","","10.90%"
"06/01/2020","1,780.67","1,738.05","1,786.02","1,670.74","","3.15%"
"05/01/2020","1,726.30","1,685.95","1,765.94","1,670.06","","2.75%"
"04/01/2020","1,680.09","1,571.00","1,747.85","1,566.97","","6.94%"
"03/01/2020","1,571.05","1,591.10","1,702.96","1,451.50","","-0.86%"
"02/01/2020","1,584.74","1,590.20","1,689.11","1,547.40","","-0.32%"
"01/01/2020","1,589.81","1,517.24","1,611.15","1,517.12","","4.80%"
"12/01/2019","1,517.01","1,467.03","1,525.45","1,453.91","","3.63%"
"11/01/2019","1,463.90","1,513.32","1,515.81","1,445.61","","-3.26%"
"10/01/2019","1,513.16","1,472.30","1,518.81","1,459.00","","2.80%"
"09/01/2019","1,472.00","1,520.10","1,557.38","1,464.42","","-3.15%"
"08/01/2019","1,519.85","1,411.34","1,555.13","1,400.65","","7.52%"
"07/01/2019","1,413.55","1,392.83","1,452.96","1,381.84","","0.32%"
"06/01/2019","1,409.10","1,307.40","1,438.99","1,306.62","","7.96%"
"05/01/2019","1,305.25","1,283.59","1,307.11","1,266.18","","1.71%"
"04/01/2019","1,283.35","1,291.48","1,310.96","1,266.25","","-0.66%"
"03/01/2019","1,291.90","1,312.94","1,324.57","1,281.10","","-1.58%"
"02/01/2019","1,312.66","1,320.93","1,347.11","1,302.53","","-0.60%"
"01/01/2019","1,320.56","1,282.78","1,326.65","1,276.58","","2.95%"
"12/01/2018","1,282.73","1,223.19","1,284.34","1,221.22","","4.98%"
"11/01/2018","1,221.88","1,215.24","1,237.74","1,196.19","","0.64%"
"10/01/2018","1,214.14","1,192.19","1,243.63","1,183.24","","1.88%"
"09/01/2018","1,191.69","1,200.29","1,212.90","1,180.68","","-0.75%"
"08/01/2018","1,200.71","1,223.97","1,225.10","1,160.19","","-1.86%"
"07/01/2018","1,223.41","1,253.49","1,266.26","1,211.48","","-2.30%"
"06/01/2018","1,252.25","1,298.79","1,309.64","1,245.67","","-3.52%"
"05/01/2018","1,297.92","1,315.40","1,326.17","1,282.00","","-1.30%"
"04/01/2018","1,314.95","1,326.21","1,365.37","1,310.29","","-0.68%"
"03/01/2018","1,324.00","1,318.22","1,356.87","1,302.76","","0.48%"
"02/01/2018","1,317.66","1,345.08","1,361.97","1,306.99","","-2.01%"
"01/01/2018","1,344.70","1,302.62","1,366.26","1,302.60","","3.24%"
"12/01/2017","1,302.45","1,274.59","1,307.97","1,236.27","","2.20%"
"11/01/2017","1,274.36","1,270.94","1,299.44","1,265.49","","0.25%"
"10/01/2017","1,271.20","1,279.20","1,306.46","1,260.51","","-0.62%"
"09/01/2017","1,279.10","1,322.03","1,357.74","1,277.60","","-3.22%"
"08/01/2017","1,321.60","1,269.05","1,326.19","1,251.36","","4.14%"
"07/01/2017","1,269.05","1,241.76","1,271.29","1,204.73","","2.24%"
"06/01/2017","1,241.20","1,268.90","1,296.26","1,236.78","","-2.12%"
"05/01/2017","1,268.09","1,268.50","1,274.30","1,214.18","","0.03%"
"04/01/2017","1,267.65","1,248.30","1,295.66","1,243.69","","1.52%"
"03/01/2017","1,248.63","1,248.57","1,261.41","1,194.89","","0.01%"
"02/01/2017","1,248.52","1,210.60","1,264.18","1,198.04","","3.14%"
"01/01/2017","1,210.51","1,151.09","1,220.21","1,145.99","","5.13%"
"12/01/2016","1,151.46","1,173.01","1,188.09","1,122.69","","-1.81%"
"11/01/2016","1,172.70","1,276.90","1,337.85","1,170.72","","-8.19%"
"10/01/2016","1,277.28","1,317.83","1,319.93","1,241.46","","-2.93%"
"09/01/2016","1,315.80","1,309.35","1,353.03","1,302.33","","0.56%"
"08/01/2016","1,308.45","1,349.97","1,367.69","1,305.02","","-3.12%"
"07/01/2016","1,350.59","1,323.40","1,375.30","1,310.80","","2.18%"
"06/01/2016","1,321.78","1,215.85","1,358.47","1,206.02","","8.82%"
"05/01/2016","1,214.69","1,293.69","1,303.97","1,199.88","","-6.08%"
"04/01/2016","1,293.36","1,232.70","1,296.58","1,209.00","","4.98%"
"03/01/2016","1,231.95","1,238.19","1,282.90","1,208.55","","-0.47%"
"02/01/2016","1,237.76","1,117.85","1,261.17","1,116.24","","10.75%"
"01/01/2016","1,117.64","1,061.09","1,128.30","1,060.74","","5.35%"
"12/01/2015","1,060.91","1,064.55","1,089.13","1,046.22","","-0.29%"
"11/01/2015","1,064.02","1,141.74","1,143.10","1,052.84","","-6.83%"
"10/01/2015","1,142.00","1,115.15","1,191.11","1,104.72","","2.46%"
"09/01/2015","1,114.60","1,134.99","1,156.74","1,098.75","","-1.72%"
"08/01/2015","1,134.10","1,095.24","1,168.72","1,081.00","","3.53%"
"07/01/2015","1,095.40","1,173.10","1,175.43","1,077.45","","-6.55%"
"06/01/2015","1,172.20","1,190.90","1,205.88","1,162.84","","-1.48%"
"05/01/2015","1,189.75","1,184.55","1,232.60","1,170.64","","0.50%"
"04/01/2015","1,183.85","1,183.75","1,224.52","1,175.26","","0.06%"
"03/01/2015","1,183.10","1,213.90","1,223.60","1,143.18","","-2.43%"
"02/01/2015","1,212.55","1,281.44","1,285.67","1,191.16","","-5.48%"
"01/01/2015","1,282.80","1,183.88","1,306.50","1,168.75","","8.39%"
"12/01/2014","1,183.55","1,166.90","1,238.48","1,143.16","","1.41%"
"11/01/2014","1,167.04","1,173.60","1,207.94","1,132.13","","-0.59%"
"10/01/2014","1,173.92","1,209.24","1,255.43","1,161.53","","-2.88%"
"09/01/2014","1,208.74","1,287.05","1,290.32","1,204.65","","-6.09%"
"08/01/2014","1,287.07","1,282.00","1,322.93","1,273.41","","0.39%"
"07/01/2014","1,282.09","1,327.15","1,345.25","1,281.06","","-3.40%"
"06/01/2014","1,327.19","1,250.90","1,329.50","1,240.95","","6.12%"
"05/01/2014","1,250.69","1,291.65","1,315.82","1,242.24","","-3.14%"
"04/01/2014","1,291.29","1,284.25","1,331.34","1,268.52","","0.60%"
"03/01/2014","1,283.64","1,326.50","1,392.15","1,282.54","","-3.18%"
"02/01/2014","1,325.79","1,245.20","1,345.66","1,240.62","","6.64%"
"01/01/2014","1,243.19","1,207.76","1,278.40","1,199.29","","3.17%"
"12/01/2013","1,204.94","1,251.65","1,267.76","1,184.75","","-3.76%"
"11/01/2013","1,251.99","1,323.70","1,327.70","1,227.86","","-5.38%"
"10/01/2013","1,323.19","1,327.75","1,361.97","1,252.05","","-0.28%"
"09/01/2013","1,326.94","1,396.56","1,416.56","1,291.83","","-4.93%"
"08/01/2013","1,395.69","1,323.20","1,434.01","1,273.25","","5.54%"
"07/01/2013","1,322.49","1,234.10","1,348.30","1,207.88","","7.25%"
"06/01/2013","1,233.14","1,389.45","1,423.55","1,181.09","","-11.05%"
"05/01/2013","1,386.40","1,476.55","1,488.23","1,339.58","","-6.11%"
"04/01/2013","1,476.60","1,597.85","1,604.03","1,321.89","","-7.49%"
"03/01/2013","1,596.17","1,580.30","1,616.76","1,561.18","","1.04%"
"02/01/2013","1,579.76","1,663.80","1,684.88","1,555.10","","-5.00%"
"01/01/2013","1,662.99","1,675.05","1,696.38","1,626.40","","-0.68%"
"12/01/2012","1,674.34","1,714.00","1,723.48","1,635.61","","-2.34%"
"11/01/2012","1,714.40","1,720.55","1,754.68","1,672.74","","-0.36%"
"10/01/2012","1,720.55","1,771.09","1,796.19","1,698.89","","-2.86%"
"09/01/2012","1,771.22","1,692.12","1,787.74","1,685.62","","4.73%"
"08/01/2012","1,691.15","1,599.25","1,693.32","1,585.10","","4.79%"
"07/01/2012","1,613.90","1,599.30","1,629.71","1,554.95","","0.96%"
"06/01/2012","1,598.60","1,560.24","1,640.90","1,545.09","","2.43%"
"05/01/2012","1,560.70","1,666.75","1,673.20","1,529.00","","-6.23%"
"04/01/2012","1,664.36","1,668.53","1,681.14","1,612.28","","-0.27%"
"03/01/2012","1,668.90","1,696.20","1,726.21","1,628.29","","-1.55%"
"02/01/2012","1,695.20","1,738.39","1,790.80","1,688.49","","-2.54%"
"01/01/2012","1,739.43","1,566.15","1,747.79","1,564.91","","11.20%"
"12/01/2011","1,564.30","1,746.49","1,762.25","1,522.44","","-10.39%"
"11/01/2011","1,745.70","1,714.65","1,803.20","1,666.48","","1.78%"
"10/01/2011","1,715.25","1,619.49","1,753.99","1,597.14","","5.64%"
"09/01/2011","1,623.75","1,823.09","1,920.80","1,534.99","","-10.97%"
"08/01/2011","1,823.80","1,626.64","1,911.96","1,608.19","","12.12%"
"07/01/2011","1,626.64","1,501.34","1,632.80","1,478.51","","8.44%"
"06/01/2011","1,500.10","1,535.15","1,558.25","1,490.80","","-2.30%"
"05/01/2011","1,535.35","1,569.29","1,577.79","1,464.40","","-1.93%"
"04/01/2011","1,565.60","1,434.09","1,571.30","1,414.55","","9.33%"
"03/01/2011","1,432.00","1,412.59","1,449.40","1,382.90","","1.44%"
"02/01/2011","1,411.65","1,332.15","1,418.27","1,325.14","","5.96%"
"01/01/2011","1,332.19","1,421.18","1,423.95","1,308.38","","-6.28%"
"12/01/2010","1,421.45","1,387.30","1,432.95","1,363.35","","2.64%"
"11/01/2010","1,384.85","1,360.59","1,424.50","1,324.04","","1.86%"
"10/01/2010","1,359.55","1,309.55","1,387.60","1,306.10","","3.82%"
"09/01/2010","1,309.50","1,248.50","1,316.80","1,236.70","","4.96%"
"08/01/2010","1,247.65","1,182.45","1,251.90","1,176.50","","5.65%"
"07/01/2010","1,180.90","1,242.15","1,244.00","1,157.40","","-4.95%"
"06/01/2010","1,242.35","1,216.10","1,265.90","1,197.65","","2.15%"
"05/01/2010","1,216.21","1,179.00","1,249.45","1,157.70","","3.13%"
"04/01/2010","1,179.25","1,113.40","1,182.05","1,112.35","","5.88%"
"03/01/2010","1,113.80","1,117.15","1,145.60","1,085.85","","-0.24%"
"02/01/2010","1,116.50","1,080.10","1,131.05","1,044.15","","3.23%"
"01/01/2010","1,081.55","1,096.75","1,162.00","1,074.25","","-1.34%"
"12/01/2009","1,096.20","1,179.75","1,226.60","1,074.60","","-7.01%"
"11/01/2009","1,178.85","1,044.30","1,195.30","1,040.65","","12.82%"
"10/01/2009","1,044.90","1,006.70","1,070.90","986.70","","3.69%"
"09/01/2009","1,007.70","950.55","1,024.85","947.00","","5.95%"
"08/01/2009","951.15","953.80","972.75","931.20","","-0.38%"
"07/01/2009","954.75","926.30","959.70","906.00","","3.01%"
"06/01/2009","926.85","979.60","990.80","913.90","","-5.42%"
"05/01/2009","980.00","887.30","981.00","880.55","","10.55%"
"04/01/2009","886.50","918.55","933.35","865.00","","-3.45%"
"03/01/2009","918.15","940.00","967.70","883.90","","-2.86%"
"02/01/2009","945.15","927.95","1,006.40","888.00","","1.88%"
"01/01/2009","927.75","880.30","931.40","802.65","","5.40%"
"12/01/2008","880.20","817.00","891.55","742.40","","7.67%"
"11/01/2008","817.50","724.85","832.10","702.25","","12.75%"
"10/01/2008","725.05","872.15","933.00","682.80","","-16.85%"
"09/01/2008","871.95","836.50","922.00","738.00","","4.95%"
"08/01/2008","830.80","914.55","917.90","774.90","","-9.09%"
"07/01/2008","913.85","926.50","988.75","894.50","","-1.22%"
"06/01/2008","925.10","887.75","936.00","857.80","","4.31%"
"05/01/2008","886.90","877.15","936.30","846.00","","1.83%"
"04/01/2008","870.95","916.25","953.60","863.30","","-4.89%"
"03/01/2008","915.70","973.40","1,031.20","905.05","","-5.84%"
"02/01/2008","972.48","924.38","976.27","885.67","","5.06%"
"01/01/2008","925.62","833.92","933.73","833.83","","11.04%"
"12/01/2007","833.60","783.10","843.60","777.40","","6.48%"
"11/01/2007","782.90","795.90","845.80","773.00","","-1.67%"
"10/01/2007","796.20","744.20","796.90","721.10","","7.00%"
"09/01/2007","744.10","673.40","745.90","671.40","","10.56%"
"08/01/2007","673.00","663.40","677.00","641.50","","1.43%"
"07/01/2007","663.50","651.25","687.60","645.50","","2.13%"
"06/01/2007","649.65","662.20","674.70","639.65","","-1.71%"
"05/01/2007","660.95","678.95","691.55","652.05","","-2.55%"
"04/01/2007","678.25","665.45","693.85","656.45","","2.21%"
"03/01/2007","663.60","669.70","677.70","632.80","","-0.95%"
"02/01/2007","669.95","652.85","689.35","643.15","","2.56%"
"01/01/2007","653.20","637.30","655.20","602.20","","2.58%"
"12/01/2006","636.80","648.00","650.00","611.80","","-1.77%"
"11/01/2006","648.30","606.40","649.00","605.70","","6.87%"
"10/01/2006","606.60","598.50","611.00","559.90","","1.39%"
"09/01/2006","598.30","625.30","640.75","571.70","","-4.56%"
"08/01/2006","626.90","636.00","655.95","607.30","","-1.21%"
"07/01/2006","634.58","617.88","676.38","601.98","","3.50%"
"06/01/2006","613.10","643.40","645.50","543.50","","-4.75%"
"05/01/2006","643.70","654.50","730.40","636.60","","-1.65%"
"04/01/2006","654.50","583.00","655.80","582.30","","12.14%"
"03/01/2006","583.65","561.15","589.15","534.05","","3.90%"
"02/01/2006","561.75","568.95","575.05","534.95","","-1.27%"
"01/01/2006","568.95","517.20","572.65","549.45","","9.92%"
"12/01/2005","517.60","493.90","517.60","517.60","","4.81%"
"11/01/2005","493.85","465.35","493.85","493.85","","6.16%"
"10/01/2005","465.20","467.65","465.20","465.20","","-0.84%"
"09/01/2005","469.15","435.10","469.15","469.15","","7.79%"
"08/01/2005","435.25","429.75","435.25","435.25","","1.17%"
"07/01/2005","430.20","434.90","430.20","430.20","","-1.16%"
"06/01/2005","435.25","417.00","435.25","435.25","","4.29%"
"05/01/2005","417.35","434.35","417.35","417.35","","-4.03%"
"04/01/2005","434.88","428.38","434.88","434.88","","1.50%"
"03/01/2005","428.45","435.65","428.45","428.45","","-1.65%"
"02/01/2005","435.62","422.38","435.62","435.62","","3.08%"
"01/01/2005","422.62","437.88","422.62","422.62","","-3.61%"
"12/01/2004","438.45","451.10","438.45","438.45","","-2.76%"
"11/01/2004","450.88","429.62","450.88","450.88","","5.22%"
"10/01/2004","428.52","418.12","428.52","428.52","","2.46%"
"09/01/2004","418.25","410.00","418.25","418.25","","2.06%"
"08/01/2004","409.82","394.38","409.82","409.82","","4.75%"
"07/01/2004","391.25","394.50","391.25","391.25","","-0.79%"
"06/01/2004","394.38","395.27","394.38","394.38","","-0.28%"
"05/01/2004","395.50","389.15","395.50","395.50","","2.04%"
"04/01/2004","387.60","426.90","387.60","387.60","","-9.15%"
"03/01/2004","426.62","397.12","426.62","426.62","","7.61%"
"02/01/2004","396.45","402.35","396.45","396.45","","-1.52%"
"01/01/2004","402.57","415.38","402.57","402.57","","-3.01%"
"12/01/2003","415.05","398.50","415.05","415.05","","4.32%"
"11/01/2003","397.88","384.62","397.88","397.88","","3.51%"
"10/01/2003","384.40","385.05","384.40","384.40","","-0.22%"
"09/01/2003","385.25","374.75","385.25","385.25","","2.58%"
"08/01/2003","375.57","355.48","375.57","375.57","","5.79%"
"07/01/2003","355.00","346.75","355.00","355.00","","2.48%"
"06/01/2003","346.40","362.35","346.40","346.40","","-5.09%"
"05/01/2003","364.98","339.77","364.98","364.98","","7.47%"
"04/01/2003","339.62","337.62","339.62","339.62","","0.63%"
"03/01/2003","337.48","348.62","337.48","337.48","","-3.54%"
"02/01/2003","349.85","368.10","349.85","349.85","","-5.06%"
"01/01/2003","368.48","346.38","368.48","368.48","","6.19%"
"12/01/2002","347.00","318.90","347.00","347.00","","8.76%"
"11/01/2002","319.05","317.75","319.05","319.05","","0.39%"
"10/01/2002","317.80","323.65","317.80","317.80","","-1.84%"
"09/01/2002","323.75","312.65","323.75","323.75","","3.52%"
"08/01/2002","312.75","303.75","312.75","312.75","","3.03%"
"07/01/2002","303.55","314.00","303.55","303.55","","-3.52%"
"06/01/2002","314.62","326.68","314.62","314.62","","-3.65%"
"05/01/2002","326.55","309.25","326.55","326.55","","5.90%"
"04/01/2002","308.35","302.25","308.35","308.35","","1.87%"
"03/01/2002","302.70","296.65","302.70","302.70","","1.94%"
"02/01/2002","296.95","282.75","296.95","296.95","","5.17%"
"01/01/2002","282.35","278.85","282.35","282.35","","1.22%"
"12/01/2001","278.95","274.80","278.95","278.95","","1.66%"
"11/01/2001","274.40","279.55","274.40","274.40","","-1.88%"
"10/01/2001","279.65","291.70","279.65","279.65","","-4.54%"
"09/01/2001","292.95","274.50","292.95","292.95","","6.74%"
"08/01/2001","274.45","266.55","274.45","274.45","","2.85%"
"07/01/2001","266.85","270.80","266.85","266.85","","-1.48%"
"06/01/2001","270.85","265.90","270.85","270.85","","1.80%"
"05/01/2001","266.05","263.85","266.05","266.05","","0.76%"
"04/01/2001","264.05","257.75","264.05","264.05","","2.36%"
"03/01/2001","257.95","267.15","257.95","257.95","","-3.48%"
"02/01/2001","267.25","266.15","267.25","267.25","","0.53%"
"01/01/2001","265.85","272.75","265.85","265.85","","-2.40%"
"12/01/2000","272.40","270.45","272.40","272.40","","0.76%"
"11/01/2000","270.35","265.05","270.35","270.35","","2.00%"
"10/01/2000","265.05","274.25","265.05","265.05","","-3.35%"
